HostCorrectedName	ParasiteCorrectedName	LocationName	Citation
Spermophilus undulatus	Trichuris muris	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Moniliformis moniliformis	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Moniliformis clarki	Baikal Lake Basin, Buryatskaya	Shalaeva et al., 1987
Spermophilus undulatus	Hymenolepis megaloon	Tuva	Shalaeva et al., 1987
Spermophilus undulatus	Hymenolepis diminuta	Tuva	Shalaeva et al., 1987
Spermophilus undulatus	Paranoplocephala transversaria	Tuva	Shalaeva et al., 1987
Spermophilus undulatus	Catenotaenia cricetorum	Tuva	Shalaeva et al., 1987
Spermophilus undulatus	Ctenotaenia citelli	Tuva	Shalaeva et al., 1987
Spermophilus undulatus	Subulura citelli	Tuva	Shalaeva et al., 1987
Spermophilus undulatus	Mastophorus muris	Tuva	Shalaeva et al., 1987
Spermophilus undulatus	Physaloptera massino	Tuva	Shalaeva et al., 1987
Spermophilus undulatus	Baylisascaris laevis	Tuva	Shalaeva et al., 1987
Spermophilus undulatus	Moniliformis clarki	Tuva	Shalaeva et al., 1987
Spermophilus undulatus	Hymenolepis megaloon	Yakutia	Shalaeva et al., 1987
Spermophilus undulatus	Catenotaenia cricetorum	Yakutia	Shalaeva et al., 1987
Spermophilus undulatus	Trichuris citellorum	Yakutia	Shalaeva et al., 1987
Spermophilus undulatus	Moniliformis moniliformis	Yakutia	Shalaeva et al., 1987
Spermophilus undulatus	Streptopharagus kutassi	Borgoyskaya Steppe	Shalaeva et al., 1987
Spermophilus undulatus	Paranoplocephala transversaria	Borgoyskaya Steppe	Shalaeva et al., 1987
Spermophilus undulatus	Hymenolepis diminuta	Borgoyskaya Steppe	Shalaeva et al., 1987
Spermophilus undulatus	Hymenolepis megaloon	Buryatia	Shalaeva et al., 1987
Spermophilus undulatus	Hymenolepis diminuta	Buryatia	Shalaeva et al., 1987
Spermophilus undulatus	Paranoplocephala transversaria	Buryatia	Shalaeva et al., 1987
Spermophilus undulatus	Catenotaenia cricetorum	Buryatia	Shalaeva et al., 1987
Spermophilus undulatus	Ctenotaenia citelli	Buryatia	Shalaeva et al., 1987
Spermophilus undulatus	Subulura citelli	Buryatia	Shalaeva et al., 1987
Spermophilus undulatus	Mastophorus muris	Buryatia	Shalaeva et al., 1987
Spermophilus undulatus	Physaloptera massino	Buryatia	Shalaeva et al., 1987
Spermophilus undulatus	Baylisascaris laevis	Buryatia	Shalaeva et al., 1987
Spermophilus undulatus	Moniliformis clarki	Buryatia	Shalaeva et al., 1987
Cynomys gunnisoni	Yersinia pestis	UNITED STATES	Ubico et al., 1988
Cynomys gunnisoni	Eimeria beecheyi	Southeastern Utah	Seville, 1997
Cynomys gunnisoni	Eimeria callospermophili	Southeastern Utah	Seville, 1997
Cynomys gunnisoni	Eimeria cynomysis	Southeastern Utah	Seville, 1997
Cynomys gunnisoni	Eimeria cynomysis	Southeastern Utah	Seville, 1997
Cynomys gunnisoni	Eimeria lateralis	Southeastern Utah	Seville, 1997
Cynomys gunnisoni	Eimeria vilasi	Southeastern Utah	Seville, 1997
Cynomys gunnisoni	Eimeria spermophili	Southeastern Utah	Seville, 1997
Cynomys gunnisoni	Yersinia pestis	New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni	Aetheca wagneri	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni	Catallagia decipiens	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni		Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni	Hoplopsylla anomalus	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni	Aetheca eumolpi	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni	Oropsylla labis 	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni	Oropsylla hirsuta	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni	Oropsylla idahoensis	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni	Oropsylla tuberculata	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni	Pulex sp.	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni	Rhadinopsylla sectilis	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni	Rhadinopsylla fraterna	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni	Thrassis bacchi	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys gunnisoni	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN	Wilber et al., 1998
Cynomys gunnisoni	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN	Wilber et al., 1998
Cynomys gunnisoni	Eimeria cynomysis	NORTH AMERICA and EUROPE	Wilber et al., 1998
Cynomys gunnisoni	Eimeria lateralis	NORTH AMERICA and ASIA	Wilber et al., 1998
Cynomys gunnisoni	Eimeria vilasi	NORTH AMERICA	Wilber et al., 1998
Cynomys gunnisoni	Eimeria spermophili	NORTH AMERICA	Wilber et al., 1998
Cynomys gunnisoni	Yersinia pestis	New Mexico	Antolin et al., 2002
Cynomys gunnisoni	Yersinia pestis	Arizona	Antolin et al., 2002
Cynomys gunnisoni	Yersinia pestis	South Park, Fairplay, Colorado	Antolin et al., 2002
Cynomys gunnisoni	Yersinia pestis	Garfield County, Colorado	Barnes, 1993
Cynomys gunnisoni	Oropsylla hirsuta	Arizona	Barnes, 1993
Cynomys gunnisoni	Oropsylla hirsuta	New Mexico	Barnes, 1993
Cynomys gunnisoni	Oropsylla hirsuta	Colorado	Barnes, 1993
Cynomys gunnisoni	Oropsylla hirsuta	Utah	Barnes, 1993
Cynomys gunnisoni	Oropsylla tuberculata	Utah	Barnes, 1993
Cynomys gunnisoni	Oropsylla tuberculata	Colorado	Barnes, 1993
Cynomys gunnisoni	Oropsylla tuberculata	New Mexico	Barnes, 1993
Cynomys gunnisoni	Oropsylla tuberculata	Arizona	Barnes, 1993
Cynomys gunnisoni	Yersinia pestis	Aubrey Valley, Arizona	Bush et al 2011
Cynomys gunnisoni	Yersinia pestis	Seligman, Arizona	Bush et al 2011
Cynomys gunnisoni	Yersinia pestis	Moreno Valley of north-central New Mexico	Cully 1997
Cynomys gunnisoni	Yersinia pestis	Moreno Valley of north-central New Mexico	Cully 1997
Cynomys gunnisoni	Yersinia pestis	Near Zuni, New Mexico	Cully et al 1997
Cynomys gunnisoni	Yersinia pestis	Moreno Valley of north-central New Mexico	Cully et al 1997
Cynomys gunnisoni	Yersinia pestis	Around town of Eagle Nest	Cully et al 1997
Cynomys gunnisoni	Oropsylla hirsuta	Around town of Eagle Nest	Cully et al 1997
Cynomys gunnisoni	Oropsylla labis	Around town of Eagle Nest	Cully et al 1997
Cynomys gunnisoni	Yersinia pestis	Moreno Valley of north-central New Mexico	Cully et al 1997
Cynomys gunnisoni	Oropsylla hirsuta	Moreno Valley of north-central New Mexico	Cully et al 1997
Cynomys gunnisoni	Oropsylla labis	Moreno Valley of north-central New Mexico	Cully et al 1997
Cynomys gunnisoni	Oropsylla tuberculata	Moreno Valley of north-central New Mexico	Cully et al 1997
Cynomys gunnisoni	Thrassis bacchi	Moreno Valley of north-central New Mexico	Cully et al 1997
Cynomys gunnisoni	Aetheca wagneri	Moreno Valley of north-central New Mexico	Cully et al 1997
Cynomys gunnisoni	Catallagia decipiens	Moreno Valley of north-central New Mexico	Cully et al 1997
Cynomys leucurus	Eimeria lateralis	Wyoming	Seville & Williams, 1989
Cynomys leucurus	Eimeria cynomysis	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Eimeria lateralis	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Eimeria ludoviciani	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Sarcocystis sp.	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Hymenolepis citelli	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Taenia mustelae	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Physaloptera sp.	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Capillaria sp.	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Eimeria cynomysis	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Eimeria lateralis	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Eimeria ludoviciani	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Sarcocystis sp.	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Hymenolepis citelli	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Taenia mustelae	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Physaloptera sp.	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Capillaria sp.	Meeteetse, Park County, Wyoming1	Seville & Williams, 1989
Cynomys leucurus	Yersinia pestis	Southeastern Wyoming	Anderson & Williams, 1997
Cynomys leucurus	Aetheca wagneri	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Aetheca wagneri	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Cediopsylla inaequalis	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Cediopsylla inaequalis	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Hystrichopsylla dippiei	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Hystrichopsylla dippiei	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Neopsylla inopina	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Neopsylla inopina	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Neopsylla sp.	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Neopsylla sp.	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Oropsylla tuberculata	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Oropsylla tuberculata	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Oropsylla idahoensis	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Oropsylla idahoensis	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Oropsylla labis	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Oropsylla labis	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Thrassis pandorae	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Thrassis pandorae	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Oropsylla tuberculata	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Oropsylla tuberculata	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Oropsylla sp.	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Oropsylla sp.	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Pulex irritans	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Pulex irritans	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Pulex sp.	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Pulex sp.	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Rhadinopsylla fraterna	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Rhadinopsylla fraterna	Meeteetse, Park County, Wyoming2	Anderson & Williams, 1997
Cynomys leucurus	Yersinia pestis	Meeteetse, Park County, Wyoming	Williams et al., 1991
Cynomys leucurus	Yersinia pestis	UNITED STATES	Ubico et al., 1988
Cynomys leucurus	Yersinia pestis	Albany, Wyoming	Ubico et al., 1988
Cynomys leucurus	Yersinia pestis	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Cynomys leucurus	Oropsylla tuberculata	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Cynomys leucurus	Oropsylla labis 	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Cynomys leucurus	Neopsylla inopina	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Cynomys leucurus	Rhadinopsylla sectilis	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Cynomys leucurus	Oropsylla idahoensis	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Cynomys leucurus	Hystrichopsylla dippiei	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Cynomys leucurus	Aetheca wagneri	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Cynomys leucurus	Aetheca exilis	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Cynomys leucurus	Thrassis pandorae	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Cynomys leucurus	Rhadinopsylla fraterna	Meeteetse, Park County, Wyoming3	Ubico et al., 1988
Cynomys leucurus	Eimeria lateralis	Not reported	Shults et al., 1990
Cynomys leucurus	Eimeria lateralis	Southeastern Wyoming	Shults et al., 1990
Cynomys leucurus	Yersinia pestis	Meeteetse, Park County, Wyoming4	Menkens, Jr. & Anderson, 1991
Cynomys leucurus	Yersinia pestis	Meeteetse, Park County, Wyoming4	Menkens, Jr. & Anderson, 1991
Cynomys leucurus	Eimeria beecheyi	Laramie, Wyoming1	Seville et al., 1992
Cynomys leucurus	Eimeria cynomysis	Laramie, Wyoming1	Seville et al., 1992
Cynomys leucurus	Eimeria callospermophili	Laramie, Wyoming1	Seville et al., 1992
Cynomys leucurus	Eimeria lateralis	Laramie, Wyoming1	Seville et al., 1992
Cynomys leucurus	Eimeria spermophili	Laramie, Wyoming1	Seville et al., 1992
Cynomys leucurus	Eimeria callospermophili	Not reported	Seville, 1997
Cynomys leucurus	Eimeria lateralis	Not reported	Seville, 1997
Cynomys leucurus	Eimeria ludoviciani	Not reported	Seville, 1997
Cynomys leucurus	Eimeria beecheyi	Southeastern Wyoming	Seville, 1997
Cynomys leucurus	Eimeria cynomysis	Southeastern Wyoming	Seville, 1997
Cynomys leucurus	Eimeria vilasi	Southeastern Wyoming	Seville, 1997
Cynomys leucurus	Eimeria sp.	Hutton Lake Wildlife Refuge, Laramie, Wyoming	Seville, 1997
Cynomys leucurus	Eimeria lateralis	Wyoming	Seville & Patrick, 2001
Cynomys leucurus	Eimeria vilasi	Wyoming	Seville & Patrick, 2001
Cynomys leucurus	Yersinia pestis	Southeastern Wyoming	Cully, Jr. & Williams, 2001
Cynomys leucurus	Aetheca wagneri	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys leucurus	Catallagia decipiens	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys leucurus	Cediopsylla inaequalis	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys leucurus	Hystrichopsylla dippiei
	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys leucurus	Neopsylla inopina	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys leucurus	Oropsylla labis 	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
Cynomys leucurus	Oropsylla hirsuta	Moreno Valley of north-central New Mexico	Cully, Jr. & Williams, 2001
