HostCorrectedName	ParasiteCorrectedName	LocationName	LongitudeDecimal	LatitudeDecimal	Accuracy	Extent_km2	ParasiteType	CloseT	Sexual	Vertical	Nonclose	Vector	Intermediate
Sciurus aberti	Ceratophyllus vison	New Mexico, Catron Co	-108.428	34.1515	2	3							
Tamiasciurus hudsonicus	Ceratophyllus vison	New Mexico, Catron Co + Taos Co	-106.158	35.1773	3	4							
Tamiasciurus hudsonicus	Ceratophyllus vison	Sevier County, Tennessee	-83.5242	35.7844	2	2							
Tamiasciurus hudsonicus	Ceratophyllus vison	Great Smoky Mountains National Park, Tennessee	-83.5086	35.6006	2	2							
Tamiasciurus hudsonicus	Ceratophyllus vison	19km outside Sherbrooke, Quebec	-71.8824	45.401	3	2							
Tamiasciurus hudsonicus	Ceratophyllus vison	Big Lake, Alaska	-149.963	61.5244	2	2							
Tamiasciurus hudsonicus	Ceratophyllus vison	4,8km south of Delta Junction, Alaska	-145.731	63.9946	2	2							
Tamiasciurus hudsonicus	Ceratophyllus vison	29km east of Bear Cove, Homer, Kenai Peninsula, Alaska	-151.546	59.7387	2	2							
Spermophilus beldingi	Cheyletus linsdalei	Oregon	-120.554	43.8041	2	4							
Spermophilus beldingi	Cheyletus linsdalei	Oregon	-120.554	43.8041	2	4							
Marmota monax	Citellina triradiata	Maine	-69.2497	45.5003	2	4							
Marmota monax	Citellina triradiata	Tompkins County, Finger Lakes Region, New York	-76.4736	42.4519	2	2							
Marmota monax	Citellinema bifurcatum	Maine	-69.2497	45.5003	2	4							
Marmota monax	Citellinema bifurcatum	Tompkins County, Finger Lakes Region, New York	-76.4736	42.4519	2	2							
Glaucomys volans	Citellinema bifurcatum	Indiana County, Pennsylvania	-79.1097	40.6851	2	2							
Tamias striatus	Citellinema bifurcatum	Adrian, Armstrong County, Pennsylvania	-79.5378	40.8847	2	2							
Tamias striatus	Citellinema bifurcatum	Cowansville, Armstrong County, Pennsylvania	-79.5883	40.8878	2	2							
Glaucomys volans	Citellinema bifurcatum	University Lodge on the Campus of Indiana Unversity of Pennsylvania	-79.1582	40.6169	3	2							
Glaucomys volans	Citellinema bifurcatum	Fort Stewart Military Reservation, Georgia	-81	32	1	2							
Glaucomys volans	Citellinema bifurcatum	Northern United States	-104.055	43.6927	4	4							
Marmota monax	Citellinema bifurcatum	New York	-74.0058	40.7142	2	2							
Marmota monax	Citellinema bifurcatum	Michigan	-85.5003	44.2503	2	4							
Marmota monax	Citellinema bifurcatum	Minnesota	-94.2506	46.25	2	4							
Marmota monax	Citellinema bifurcatum	Connecticut	-27.6664	41.6669	2	3							
Marmota monax	Citellinema bifurcatum	Maryland	-76.7497	39.0003	2	4							
Marmota monax	Citellinema bifurcatum	Pennsylvania	-77.1945	41.2033	2	4							
Marmota monax	Citellinema bifurcatum	Wisconsin	-88.7879	43.7844	2	4							
Marmota monax	Citellinema bifurcatum	Connecticut	-27.6664	41.6669	2	3							
Marmota monax	Citellinema bifurcatum	Iowa	-93.0977	41.878	2	4							
Marmota monax	Citellinema bifurcatum	Maryland	-76.7497	39.0003	2	4							
Marmota monax	Citellinema bifurcatum	Michigan	-85.5003	44.2503	2	4							
Marmota monax	Citellinema bifurcatum	North Carolina	-80.0003	35.5006	2	4							
Sciurus aberti	Warrenius quadrivittati	New Mexico, Catron Co + Rio Arriba Co + Sandoval Co	-107.231	35.4769	3	4							
Tamiasciurus hudsonicus	Warrenius quadrivittati	New Mexico, Catron Co + Rio Arriba Co + Sandoval Co + San Juan + Taos Co	-105.87	34.5199	4	4							
Tamias quadrivittatus	Warrenius quadrivittati	Not reported											
Spermophilus citellus	Citellophilus martinoi	Srem: Fruska Gora: Irig	19.8583	45.1011	2	2							
Spermophilus citellus	Citellophilus martinoi	Velemin, Bohemia	13.9768	50.539	2	2							
Spermophilus undulatus	Citellophilus martinoi	Srem: Fruska Gora: Irig	19.8583	45.1011	2	2							
Spermophilus undulatus	Citellophilus martinoi	Srem: Fruska Gora: Jazak	19.7653	45.1191	2	2							
Spermophilus undulatus	Citellophilus martinoi	Banat: Melenci	20.3253	45.5221	2	2							
Spermophilus undulatus	Citellophilus martinoi	Vlasinska Tresava	22.3309	42.7073	4	2							
Spermophilus undulatus	Citellophilus martinoi	Vlasina	22.245	42.8646	4	2							
